,AIC_AR(1),BIC_AR(1),RMSE_AR(1),AIC_AR(2),BIC_AR(2),RMSE_AR(2),AIC_AR(3),BIC_AR(3),RMSE_AR(3)
spread,101699.3484235178,101728.43576415659,0.5075368347050289,99195.5959430158,99234.3790638675,0.5075359197897202,98742.38904847999,98790.86794954463,0.5075358008621922
bid_size_0,1144785.3584557776,1144814.4457964164,47.05215834837493,1142120.294399103,1142159.0775199546,47.05186332483392,1141656.5787688424,1141705.057669907,47.05171880237863
bid_size_1,1236129.153280216,1236158.2406208548,76.08793472695015,1233822.3728535613,1233861.155974413,76.08938831091281,1233437.209973845,1233485.6888749097,76.08998333235665
bid_size_2,1275703.0183142081,1275732.1056548469,85.29382452141778,1273111.0226645444,1273149.8057853961,85.29260712485825,1272688.046460652,1272736.5253617167,85.29236217431773
bid_size_3,1330497.043747615,1330526.1310882538,102.86679263777057,1327221.8697645022,1327260.652885354,102.86587398448985,1326734.242897273,1326782.7217983378,102.86554186344735
bid_size_4,1384180.9507857894,1384210.0381264281,131.95302507105058,1381412.5697002239,1381451.3528210756,131.95230181011235,1380956.913777887,1381005.3926789516,131.95140184002108
ask_size_1,1261259.503405092,1261288.5907457308,80.86223684446352,1258716.6161964643,1258755.399317316,80.86163889689564,1258301.409509587,1258349.8884106518,80.86163225421167
ask_size_2,1301842.7809160335,1301871.8682566723,97.23791192965754,1298832.0918641528,1298870.8749850045,97.22278927237095,1298262.724896738,1298311.2037978028,97.21431891879429
ask_size_3,1361766.5003887466,1361795.5877293854,123.10980325385503,1358567.9196128584,1358606.7027337102,123.11937267865088,1358078.0107351947,1358126.4896362594,123.12589999650518
ask_size_4,1400845.301080846,1400874.3884214847,149.25071776124588,1397980.49718795,1398019.2803088017,149.24530122813982,1397417.2049391882,1397465.683840253,149.2421459684562
imbalance_1,128073.54188991789,128102.62923055667,0.6815328941002479,126437.03999145696,126475.82311230866,0.6815702722025061,126059.4663962542,126107.94529731883,0.6815896581302405
imbalance_3,-80574.79306103085,-80545.70572039207,0.35732229882396205,-82756.60633408351,-82717.82321323181,0.35731337328174145,-83165.50131183988,-83117.02241077524,0.35730821387136785
imbalance_5,-157114.10998057085,-157085.02263993208,0.27943514815705445,-159688.0927209672,-159649.3096001155,0.2794357689398422,-160163.91577275854,-160115.4368716939,0.2794353394753749
buy_10s_volume,1170009.5825275627,1170038.6698682015,76.41786523880558,1169993.0551280377,1170031.8382488894,76.4181676821867,1169978.3719990128,1170026.8509000775,76.41846161165445
sell_10s_volume,1181014.1556014407,1181043.2429420794,84.66230285430912,1180992.5404650958,1181031.3235859475,84.66253594443128,1180988.8736921006,1181037.3525931654,84.66265557295354
buy_1min_volume,1345663.6393891193,1345692.726729758,419.6146537550635,1345656.2320299323,1345695.015150784,419.6129368665668,1345653.425245305,1345701.9041463698,419.6141716182813
sell_1min_volume,1369179.6394093772,1369208.726750016,463.7372470120675,1369170.0439356614,1369208.8270565132,463.73217458863775,1369171.9662406137,1369220.4451416784,463.7317637547704
buy_5min_volume,1514947.3075038493,1514976.394844488,1974.0412559577103,1514936.6484594403,1514975.431580292,1974.0476819508683,1514938.3204084288,1514986.7993094935,1974.0487229440635
sell_5min_volume,1514505.6780526778,1514534.7653933165,2252.436274711117,1514507.6776548729,1514546.4607757246,2252.436958122816,1514506.5561327487,1514555.0350338134,2252.3739722977675
volatility_10s,-1708725.1553668648,-1708696.068026226,0.0006502223049255154,-1713461.8222377996,-1713423.039116948,0.0006502086501416286,-1714751.9186705388,-1714703.439769474,0.0006502069383211908
volatility_1min,-1747024.7165419243,-1746995.6292012855,0.0012701193987763708,-1747598.1273219404,-1747559.3442010887,0.0012701189819041689,-1748001.8976380718,-1747953.418737007,0.0012701244202034247
volatility_5min,-1791884.0712340618,-1791854.983893423,0.0026895523288708624,-1791985.2568037123,-1791946.4736828606,0.0026892716336870005,-1792057.9740933503,-1792009.4951922856,0.0026890835353666643
mid_p_change_10s,165078.91463808948,165108.00197872825,1.8167886400511208,163298.6682416042,163337.4513624559,1.8167597294161095,162216.77172270656,162265.2506237712,1.8167348289690337
mid_p_change_1min,177603.42347092094,177632.5108115597,4.710682094335693,177187.63471676465,177226.41783761635,4.712612499515852,177070.7336176216,177119.21251868622,4.713604654287433
mid_p_change_5min,182244.8695916064,182273.95693224517,11.214439990005765,182221.1955743652,182259.9786952169,11.213158436623614,182107.48903750622,182155.96793857086,11.211776789695252
next_10s_volatility,-1692682.456592341,-1692653.3692517022,0.0006757629332328197,-1697676.7391426605,-1697637.9560218088,0.0006757639345111946,-1698923.4579196784,-1698874.9790186137,0.000675764577844608
next_1min_volatility,-1740835.5631689364,-1740806.4758282977,0.0013824707916113344,-1741495.1733590786,-1741456.3902382269,0.0013818949226031523,-1741819.9693632945,-1741771.4904622298,0.0013815103115838066
next_5min_volatility,-1794106.032451937,-1794076.9451112982,0.002690658136780671,-1794306.9466274227,-1794268.163506571,0.002682804974955145,-1794305.4950250017,-1794257.016123937,0.0026831843128143234
